title,author,length
77. Watership Down,By: Richard Adams,Length: 17 hrs and 31 mins
78. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
79. A Killer's Wife,By: Victor Methos,Length: 9 hrs and 21 mins
80. Tools of Titans,By: Tim Ferriss,Length: 22 hrs and 41 mins
81. Crying in H Mart,By: Michelle Zauner,Length: 7 hrs and 23 mins
82. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
83. Untamed,By: Glennon Doyle,Length: 8 hrs and 22 mins
84. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
85. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
86. The Obesity Code,By: Dr. Jason Fung,Length: 10 hrs and 9 mins
87. The Day the Lies Began,By: Kylie Kaden,Length: 12 hrs and 48 mins
88. The Neil Gaiman Reader,By: Neil Gaiman,Length: 27 hrs and 2 mins
89. Think Again,By: Adam Grant,Length: 6 hrs and 40 mins
90. The Invisible Life of Addie LaRue,By: V. E. Schwab,Length: 17 hrs and 10 mins
91. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
92. Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
93. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
94. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
95. Beneath a Scarlet Sky,By: Mark Sullivan,Length: 17 hrs and 43 mins
96. Empire of Pain,By: Patrick Radden Keefe,Length: 18 hrs and 6 mins
97. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 17 mins
98. People We Meet on Vacation,By: Emily Henry,Length: 10 hrs and 46 mins
99. Becoming,By: Michelle Obama,Length: 19 hrs and 3 mins
100. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
